name,slug,sport,level,state,city,venue,address,start_date,end_date,referee_pay,referee_contact,source_url,source_domain,summary,status,confidence,run_id,updated_at
Coach Educators,coach-educators-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/us-soccer-education/coach-educators/,usclubsoccer.org,"US Club Soccer has more than 100 coach educators who deliver about 300 U.S. Soccer licenses annually. Our team teaches a variety of courses on the Coaching Licensing Pathway, including the Grassroots, ‘D,’ ‘C,’ and ‘B’ licenses, as well as supplemental courses, such as the Director of Coaching license.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Innovate to Grow,innovate-to-grow-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/innovate-to-grow/,usclubsoccer.org,"US Club Soccer launched its Innovate to Grow program, Coach Education for Current & Former Players, in collaboration with NorCal Premier Soccer and SOCAL Soccer League. The program will include a fully funded U.S. Soccer grassroots coach licensing pathway to ignite a passion for coaching to current players and former players who are new to coaching aged 18-30.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Mental Health,mental-health-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/mental-health/,usclubsoccer.org,US Club Soccer provides resources for its members to improve their mental health. Stop the stigma; keep the conversation around mental health ongoing.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Inclusivity,inclusivity-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/education/inclusivity/,usclubsoccer.org,"Fostering inclusive environments for families, athletes, parents, coaches, administrators and referees is critical to growing youth soccer.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Sideline Behavior,sideline-behavior-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/education/sideline-behavior/,usclubsoccer.org,"Appropriate sideline behavior is critical for the support and development of our players, coaches and referees.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Referee Support,referee-support-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/education/referee-support/,usclubsoccer.org,"US Club Soccer recognizes the critical need to recruit and develop referees, and encourages its members to foster a supporting environment for referees to participate and grow.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Resources,resources-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/resources/,usclubsoccer.org,"774 S Shelmore Blvd Ste 104; Mount Pleasant, SC 29464",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
"Bylaws, Policies & Guidelines",bylaws-policies-guidelines-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/bylaws-policies-guidelines/,usclubsoccer.org,"Bylaws, Policies, and Guidelines relating to FIFA and U.S. Soccer, U.S. Club Soccer, and its logo usage.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Insurance,insurance-senior-medical-insurance-hs,soccer,national,HS,senior medical insurance,,,,,,,https://usclubsoccer.org/insurance/,usclubsoccer.org,"As a benefit to membership, accident and liability insurance coverage is provided to members while participating in US Club Soccer-operated and -sanctioned Covered Activities",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Youth Summary (2025-26),youth-summary-2025-26-but-not-limited-to-co,soccer,national,CO,but not limited to,,,,,,,https://usclubsoccer.org/resources/insurance/youth-summary-2025-26/,usclubsoccer.org,"OVERVIEW US Club Soccer provides excess participant accident medical and liability insurance coverage for Covered Activities via the Insurance Office of America, Inc. (IOA) as a benefit of membership, as further summarized below. This information covers the insurance coverage policy Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
